iter	MultiClass
0	1.037906741
1	0.9872541965
2	0.9413665106
3	0.902944492
4	0.8669659765
5	0.8356085927
6	0.8075523499
7	0.7828095044
8	0.7598016249
9	0.7362668605
10	0.7180466952
11	0.6996941097
12	0.6832876732
13	0.666478876
14	0.6517937259
15	0.639704439
16	0.6294500677
17	0.6202301943
18	0.6118610411
19	0.6036478936
20	0.593464737
21	0.587257395
22	0.5770104782
23	0.5692525141
24	0.5607488523
25	0.5529431748
26	0.5450261993
27	0.5389531617
28	0.5329579277
29	0.5272496088
30	0.5229546987
31	0.5174514505
32	0.5136165736
33	0.5083061635
34	0.5017004284
35	0.4986854277
36	0.4957278719
37	0.4916886483
38	0.4874958069
39	0.4840109558
40	0.4802398995
41	0.4759704967
42	0.4723492466
43	0.4696917032
44	0.4675652503
45	0.465188114
46	0.4629185786
47	0.4597047147
48	0.4558664019
49	0.4535597807
50	0.4513393868
51	0.4482065124
52	0.4451911094
53	0.4426230819
54	0.4398210259
55	0.4373231577
56	0.4355684959
57	0.4331839541
58	0.4316459925
59	0.4294649355
60	0.4277517768
61	0.4253071842
62	0.4237679387
63	0.4219839617
64	0.4209082402
65	0.4196869542
66	0.4177111279
67	0.4157861337
68	0.4142047644
69	0.4129941352
70	0.4112992366
71	0.4100345386
72	0.4074141086
73	0.404322728
74	0.4028935715
75	0.4014100434
76	0.3988669442
77	0.3966245414
78	0.3949033111
79	0.3938664494
80	0.3916488378
81	0.3904876255
82	0.3893222786
83	0.3880487529
84	0.3873438861
85	0.386464356
86	0.3849673403
87	0.3822152931
88	0.3814867375
89	0.380199589
90	0.3795079279
91	0.3786178625
92	0.3771239843
93	0.3758036581
94	0.3748731221
95	0.3739126724
96	0.372840635
97	0.3712115266
98	0.3699055716
99	0.3688912401
100	0.3674279534
101	0.366092439
102	0.364199474
103	0.3629108208
104	0.3615438342
105	0.3606825567
106	0.3594668889
107	0.3576411721
108	0.35657494
109	0.3559440697
110	0.3545083379
111	0.3533094196
112	0.3515403611
113	0.3504165211
114	0.3496590914
115	0.3482153347
116	0.3465219523
117	0.345614803
118	0.3442602337
119	0.3433812899
120	0.3423178786
121	0.3412216187
122	0.3403198306
123	0.33914553
124	0.3380961192
125	0.3371217553
126	0.335701009
127	0.334792272
128	0.3337142336
129	0.3330332365
130	0.3321175257
131	0.3312953674
132	0.3306650547
133	0.3298942525
134	0.3293175424
135	0.3276195837
136	0.3264691235
137	0.325780575
138	0.3249159678
139	0.3242725005
140	0.3233480434
141	0.3229346456
142	0.3220163036
143	0.3216114664
144	0.3209223891
145	0.3204908513
146	0.3198758491
147	0.3187952413
148	0.3172276778
149	0.3163217595
150	0.3158880671
151	0.3152877126
152	0.3146194908
153	0.3138346474
154	0.3131175857
155	0.3127917899
156	0.3122057561
157	0.3112769896
158	0.3102664845
159	0.3091802317
160	0.3088064385
161	0.3081226392
162	0.3078073237
163	0.3072235057
164	0.3058670266
165	0.3052487235
166	0.3045329737
167	0.3040525783
168	0.3033551926
169	0.3027993309
170	0.3024646213
171	0.3013325909
172	0.3004779408
173	0.2998730957
174	0.2991550674
175	0.2983125842
176	0.2976626772
177	0.2968325063
178	0.2961979597
179	0.2956450384
180	0.2950809986
181	0.2946119307
182	0.293847521
183	0.2933037594
184	0.2926947482
185	0.2917489133
186	0.2913848623
187	0.290429716
188	0.2898267852
189	0.2892619435
190	0.2886016076
191	0.2881378772
192	0.2877985398
193	0.2873320397
194	0.2866840368
195	0.2863481062
196	0.2854561215
197	0.2847635646
198	0.2839040777
199	0.2831101173
200	0.2828083666
201	0.2820073319
202	0.2816638179
203	0.2809375176
204	0.2805205052
205	0.2798448693
206	0.2790946438
207	0.2785422165
208	0.2776577249
209	0.277136163
210	0.2762218242
211	0.2759471746
212	0.2752934783
213	0.2749761641
214	0.2747319965
215	0.2741518196
216	0.2734656948
217	0.2730678745
218	0.2725739249
219	0.2717489406
220	0.2711686882
221	0.2705021335
222	0.270124634
223	0.269478501
224	0.2687937591
