iter	Passed	Remaining
0	4	4807
1	7	3717
2	9	3314
3	12	3116
4	14	2931
5	16	2740
6	18	2656
7	20	2553
8	22	2478
9	24	2413
10	26	2358
11	27	2305
12	29	2258
13	31	2239
14	34	2234
15	35	2193
16	37	2155
17	39	2131
18	41	2141
19	43	2113
20	44	2084
21	46	2059
22	47	2035
23	49	2027
24	51	2012
25	53	1992
26	54	1975
27	56	1960
28	58	1950
29	59	1932
30	61	1913
31	62	1904
32	64	1899
33	66	1887
34	67	1872
35	69	1858
36	70	1845
37	72	1836
38	74	1824
39	75	1813
40	77	1803
41	78	1793
42	80	1782
43	81	1773
44	83	1764
45	84	1759
46	86	1755
47	88	1750
48	89	1743
49	91	1737
50	92	1729
51	94	1724
52	96	1720
53	97	1714
54	99	1712
55	101	1705
56	102	1698
57	104	1695
58	106	1700
59	108	1693
60	109	1691
61	111	1685
62	113	1682
63	114	1681
64	116	1674
65	118	1670
66	119	1665
67	121	1664
68	123	1659
69	124	1653
70	125	1648
71	127	1643
72	129	1640
73	131	1640
74	132	1637
75	134	1634
76	136	1632
77	137	1627
78	139	1622
79	140	1619
80	142	1615
81	144	1614
82	145	1610
83	147	1608
84	149	1604
85	150	1604
86	152	1600
87	154	1596
88	155	1592
89	157	1588
90	158	1585
91	160	1581
92	161	1577
93	163	1572
94	164	1570
95	166	1568
96	168	1564
97	169	1563
98	171	1559
99	173	1558
100	174	1556
101	176	1551
102	178	1551
103	179	1548
104	181	1544
105	183	1544
106	184	1542
107	186	1543
108	188	1540
109	190	1537
110	191	1535
111	193	1532
112	195	1532
113	197	1531
114	199	1536
115	201	1534
116	203	1537
117	205	1534
118	207	1535
119	209	1533
120	210	1531
121	212	1528
122	214	1526
123	215	1524
124	217	1520
125	219	1519
126	220	1518
127	222	1518
128	224	1515
129	226	1512
130	227	1512
131	229	1509
132	231	1507
133	232	1504
134	234	1502
135	236	1501
136	237	1498
137	239	1497
138	241	1493
139	242	1491
140	244	1489
141	245	1486
142	247	1483
143	249	1480
144	250	1477
145	252	1475
146	253	1473
147	256	1476
148	258	1474
149	259	1470
150	261	1467
151	263	1470
152	265	1467
153	266	1464
154	268	1465
155	271	1467
156	272	1464
157	274	1461
158	275	1459
159	277	1457
160	279	1456
161	281	1453
162	282	1451
163	284	1451
164	286	1451
165	288	1448
166	290	1447
167	291	1444
168	293	1442
169	295	1442
170	297	1441
171	298	1437
172	300	1436
173	302	1435
174	304	1435
175	306	1433
176	307	1431
177	309	1428
178	311	1428
179	312	1425
180	314	1422
181	316	1421
182	318	1421
183	319	1418
184	321	1416
185	322	1413
186	324	1410
187	326	1408
188	327	1406
189	329	1403
190	330	1400
191	332	1398
192	334	1396
193	335	1394
194	337	1391
195	338	1388
196	340	1386
197	341	1384
198	343	1381
199	344	1379
200	346	1376
201	347	1374
202	349	1371
203	350	1369
204	352	1366
205	353	1364
206	355	1362
207	357	1361
208	359	1359
209	360	1357
210	362	1354
211	363	1352
212	365	1350
213	367	1348
214	368	1346
215	370	1344
216	371	1342
217	373	1340
218	375	1339
219	377	1336
220	378	1334
221	380	1331
222	381	1329
223	383	1327
224	384	1325
225	386	1323
226	387	1321
227	389	1319
228	391	1318
229	393	1316
230	394	1314
231	396	1313
232	398	1310
233	400	1310
234	401	1308
235	403	1306
236	404	1303
237	406	1302
238	408	1300
239	410	1298
240	411	1296
241	413	1294
242	415	1292
243	416	1291
244	418	1289
245	419	1287
246	421	1285
247	423	1283
248	425	1281
249	426	1279
